metroarea,carcount,modetowork,travelburden,transitgood,tripcount,tripmile,distancetowork,transituse,hhincome,hhsize,childage,houseown,urbansize,popdensity,gasprice,age,gender,education,workschoolretire,hhstate,Walk.Index_Den,Walk.Index_Pop,Transit.Score,poverty_pop,disability_pop,bachelor_pop,employ_workforce
38060,0,4,1,1,3,44.93,24.48,4,1,2,0,2,4,7000,282.6,25,2,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,8,51.905,6.54,0,4,2,0,1,4,3000,291.7,59,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,3,2,3,9.165,3.26,0,3,3,21,1,4,7000,266,50,1,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,3,3,3,2,8,23.937,6.54,0,4,2,0,1,4,3000,291.7,72,1,5,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,5,50.339,10.43,0,4,1,0,2,4,3000,263.7,43,1,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,3,12.717,5.43,0,3,2,0,1,4,7000,271.6,56,1,4,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,0,1,2,3,6,22.019,0.04,0,3,2,0,1,6,50,274,61,2,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,2,2,26.698,13.13,0,4,2,0,1,4,3000,292.1,58,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,2,42.503,21.59,0,3,2,0,1,2,3000,276.6,64,2,3,4,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,2,3,2,2,3,11.658,5.81,0,4,2,0,1,4,7000,274.6,27,2,4,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,1,3,7,21.21,3.24,0,3,2,0,2,4,7000,266,70,2,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,1,3,2,2,1,0.417,20.77,0,4,2,0,1,4,7000,274.6,55,2,2,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
38060,0,1,2,2,4,3.098,1.54,2,2,2,0,2,4,3000,274.8,29,1,3,11,AZ,8.369636652,7.92214406,3.2,0.081953801,0.053940112,0.156045712,0.578773276
